Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_LatinX,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_LatinX,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
20201220,DE,50616,22605,12150,9183,931,,,,3000,2747,9183,38686,2747,862,574,213,59,2,,,,13,1,59,802,1,,,,,,,,,,,,,,484059,236746,88746,39285,11385,,,,45215,11385,39285,382092,62682
20201220,FL,1201566,374972,151004,368886,,,,,80061,226643,368886,541007,291673,20861,10624,3496,5025,,,,,875,841,5025,14080,1756,60791,26576,12550,16189,,,,,3195,2281,16189,40658,3944,,,,,,,,,,,,,
20201220,GA,509588,192666,137526,60477,9916,314,491,,13153,95045,60477,307094,142017,10383,5027,3599,564,169,10,6,,21,987,564,8818,1001,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,GU,7202,346,,,2199,,3682,,389,586,,,,119,,,,,,,,,119,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,HI,20217,2050,319,,4997,,6461,,570,7176,,,,282,25,5,,153,,79,,5,15,,,15,1655,102,10,,414,,501,,23,605,,,605,,,,,,,,,,,,,
20201220,IA,271632,165694,8017,,5345,888,824,,2672,88192,18707,157676,93537,3589,3310,90,,50,11,15,,38,75,102,3487,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,ID,129960,69424,757,,832,1630,274,,10254,46789,13836,50428,65696,1280,1202,8,,11,21,,,19,19,134,1130,16,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,IL,900370,309007,81990,167071,17996,1084,836,,30708,291678,167071,441621,291678,16407,8618,2926,2500,535,19,14,,94,1701,2500,12206,1701,,,,,,,,,,,,,,12434525,3977990,917241,880575,451996,9817,12279,,372980,5811647,880575,5742303,5811647
20201220,IN,464354,300102,30940,,5970,,,,52369,74973,29627,227458,207269,7404,5037,634,,38,,,,944,751,167,3677,3560,,,,,,,,,,,,,,2523679,1704322,188358,,45544,,,,291835,293620,96857,1182961,1243861
20201220,KS,200426,136217,10033,,3512,1359,,,11863,37442,29833,117646,52947,2341,1805,140,,30,20,,,160,186,188,1867,286,6175,4574,548,,125,50,,,515,363,1036,4568,571,930806,556491,41527,,16215,5502,,,55547,255524,69552,496369,364885
20201220,KY,242321,151486,17294,,2333,493,169,9362,,61184,17294,163306,67865,2397,1910,222,,17,1,1,58,,188,51,2064,282,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,LA,286145,124073,89373,,13284,800,304,,22083,36228,,,286145,7042,3863,2902,,46,7,8,,27,189,180,6448,414,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,MA,323531,101189,20734,69879,7429,,,,22454,101846,69879,151806,101846,11717,8649,853,829,289,,,,831,266,829,10622,266,15372,7700,1625,2356,524,,,,1380,1787,2356,11229,1787,,,,,,,,,,,,,
20201220,MD,250808,79528,73644,44722,5099,,,,11467,36348,44722,169738,36348,5448,2562,2036,547,186,,,,55,62,547,4839,62,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,ME,18946,14652,1465,,252,59,10,158,418,1932,390,14415,4141,292,221,6,,0,0,0,0,4,61,1,199,92,979,778,50,,16,2,0,2,15,116,15,796,168,,,,,,,,,,,,,
20201220,MI,496056,275055,55786,,7199,2530,,20060,27717,107709,25741,312111,158204,12074,7635,3089,,123,56,,196,307,668,317,9576,2181,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,MN,397319,259623,32459,35924,16662,3710,421,5376,5557,37587,35924,323808,37587,4850,3987,265,156,177,67,4,53,20,121,156,4573,121,20547,12531,2489,1805,1168,352,21,411,194,1576,1805,17166,1576,,,,,,,,,,,,,
20201220,MO,365186,172769,32830,,2995,657,30,73,53719,102106,13402,351783,171200,4937,2710,683,,34,7,0,0,1125,372,103,3701,1132,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,MP,116,,,,,,,,,116,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,MS,192111,85224,66628,4472,748,1591,,,7744,27926,4472,125224,64637,4390,2209,1861,50,12,92,,,59,126,50,3621,738,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,MT,77170,45965,343,,241,6967,,,5379,18275,1728,44940,30502,865,499,,,,174,,,32,160,,,,3082,2233,23,,,453,,,,373,,,,,,,,,,,,,,,,
20201220,NC,479168,243279,83368,,7254,6255,,,52912,86100,79278,234148,165742,6224,3817,1591,,72,77,,,389,278,438,4986,800,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,ND,90039,48194,2630,,1238,3750,,1071,21,33135,,,90039,1237,,,,,,,,,1237,,,1237,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,NE,156382,84751,4362,,2369,1070,198,,3329,60303,20576,67727,68079,1486,1066,57,,23,23,1,,21,295,139,834,513,4992,3673,279,,125,86,12,,150,667,969,2994,1029,,,,,,,,,,,,,
20201220,NH,36542,17780,620,2146,519,31,0,168,810,14468,2146,19928,14468,656,539,9,19,4,0,0,0,1,84,19,553,84,889,662,35,86,34,1,0,4,8,59,86,744,59,,,,,,,,,,,,,
20201220,NJ,432592,119959,38772,87603,14226,,,,51137,120895,87603,224094,120895,18194,9698,3072,3544,950,,,,440,490,3544,14160,490,45182,17117,8323,11747,2022,,,,2425,3548,11747,29887,3548,,,,,,,,,,,,,
20201220,NM,129993,18381,1572,51191,1026,21747,,,,36076,51191,42726,36076,2171,544,26,712,14,649,,,,226,712,1233,226,8733,1222,80,2623,67,2496,13,,174,2058,2623,4052,2058,,,,,,,,,,,,,
20201220,NV,203945,53159,11210,56366,11401,803,,,16848,54158,56366,93421,54158,2781,1280,254,610,292,22,,,5,318,610,1853,318,,,,,,,,,,,,,,1106466,290009,57624,96513,40400,5396,,,113046,503478,96513,506475,503478
20201220,NY,848042,,,,,,,,,848042,,,848042,36682,11515,8114,8400,2225,,,,2304,4124,8400,24158,4124,89995,14396,17119,19832,4750,,,,,33898,19832,36265,33898,,,,,,,,,,,,,
20201220,OH,622806,349976,68966,,9137,731,492,15854,34984,142666,20284,371866,230656,8047,6261,1080,,59,5,3,138,76,425,157,7092,798,34747,22908,6812,,498,54,46,1286,1011,2132,1341,28369,5037,,,,,,,,,,,,,
20201220,OK,260838,148761,15123,,5144,25054,,,9080,57676,29401,153431,78006,2212,1596,139,,34,191,,,67,185,120,1754,338,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,OR,102930,46277,2590,,3302,1980,1032,1680,25632,20437,29478,48358,25094,1341,868,33,,34,20,14,31,118,223,144,836,361,5837,3437,195,,225,160,110,105,1118,487,1303,3567,967,,,,,,,,,,,,,
20201220,PA,555702,256520,54753,,9730,,,,4948,229751,36239,134505,384958,13942,10788,2051,,245,,,,524,334,637,12971,334,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,PR,68433,,,,,,,,,68433,,,,1368,,,,,,,,,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,RI,77812,28275,5041,20859,1147,160,0,555,1014,20761,20859,36192,20761,1625,1070,80,140,17,1,0,0,0,317,140,1168,317,5822,2200,447,1326,85,10,0,18,85,1651,1326,2845,1651,597623,142838,14004,40497,5356,4430,458,171,15755,374114,40497,183012,374114
20201220,SC,273406,121625,61313,,2599,,,,24736,63133,17938,159010,96458,4935,2557,1526,,35,,,,142,675,140,3610,1185,13444,6427,5294,,122,,,,697,904,713,10605,2126,,,,,,,,,,,,,
20201220,SD,94727,64349,2030,3213,1197,11559,,,2077,10302,3213,81212,10302,1361,1044,6,14,14,170,,,11,102,14,1245,102,5411,3643,102,132,62,1052,,,75,345,132,4933,345,,,,,,,,,,,,,
20201220,TN,519687,296186,67213,,4189,606,348,,46164,104981,37334,301349,181004,6071,4401,1148,,35,6,3,,204,274,201,5285,585,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,TX,1581668,20523,10899,26198,907,,,,337,1522804,26198,32666,1522804,25348,8958,2515,12899,444,,,,122,410,12899,12039,410,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,UT,250964,149643,3552,59319,4936,3566,6845,,20273,25729,59319,165916,25729,1155,743,13,199,38,49,40,,79,67,199,889,67,10039,5922,169,2501,241,329,622,,844,232,2501,7306,232,1696685,1055599,20166,207460,28314,17862,23776,,103018,240490,207460,1170204,240490
20201220,VA,306848,115419,52999,53734,9907,400,,3304,8233,62852,53734,190262,62852,4650,2700,1131,372,182,8,,52,56,149,372,4129,149,16878,6627,4760,3770,732,14,,140,347,488,3770,12620,488,,,,,,,,,,,,,
20201220,VI,1921,,,,,,,,,1921,,,1921,23,,,,,,,,,23,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,VT,6443,5100,326,,310,9,,,99,599,140,5300,1003,111,103,1,,2,1,,,2,2,0,105,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,WA,222600,58657,7251,45502,7473,1848,2519,3645,2198,93507,45502,83591,93507,3104,2172,92,411,214,66,50,40,52,7,411,2686,7,13391,4310,493,2155,581,162,286,154,183,5067,2155,6169,5067,,,,,,,,,,,,,
20201220,WI,492724,372627,33169,,10995,6196,,,27898,41839,281,331294,82837,4743,3982,352,,81,69,,,85,174,293,4105,345,20120,13777,2463,2020,421,292,,,253,894,2020,17206,894,,,,,,,,,,,,,
20201220,WV,72342,45119,1889,,,,,,957,24377,,,,1128,773,19,,,,,,11,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,WY,41662,21064,325,3250,213,1825,112,,1164,10645,3250,24703,13709,351,279,1,20,4,34,1,,3,28,20,303,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,AK,41041,13004,1115,,1687,8375,1205,3267,5256,7132,2337,21810,16894,181,62,7,,19,67,11,7,3,5,4,145,32,921,289,36,,77,241,102,63,40,73,44,669,208,,,,,,,,,,,,,
20201216,AL,305640,94243,52693,,1099,,,,27983,129622,9819,107285,188536,4198,2134,1241,,14,,,,117,692,92,3011,1095,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,AR,191504,119882,33322,,1724,542,2873,1341,9958,21862,24130,167374,0,3074,2219,483,,20,7,50,9,112,174,120,2954,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,AZ,429219,129797,12349,122952,4871,21873,,,18031,119346,122952,186921,119346,7530,3391,219,2192,78,768,,,131,751,2192,4587,751,31468,13026,1383,10776,457,2848,,,1068,1910,10776,18782,1910,,,,,,,,,,,,,
20201216,CA,1671081,237659,48540,678937,72150,3691,6517,15491,133082,475014,678937,517130,475014,21481,6547,1510,10090,2464,67,103,198,164,338,10090,11053,338,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,CO,296716,111061,8071,87739,3857,1602,890,4095,1988,77413,87739,131564,77413,4156,2575,160,906,96,21,9,95,27,267,906,2983,267,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,CT,157781,47962,12610,26782,1708,260,,3736,6150,58573,26782,72426,58573,5506,4028,746,521,63,3,,55,25,65,521,4920,65,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,DC,25602,6209,12138,,458,51,65,,6473,208,5851,17660,2091,720,74,531,95,9,,,,0,11,95,614,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,DE,47929,21222,11565,8807,881,,,,2832,2622,8807,36500,2622,833,556,207,54,2,,,,13,1,54,778,1,,,,,,,,,,,,,,473493,231235,86742,38199,11139,,,,44245,11139,38199,373361,61933
20201216,FL,1155335,356572,146128,354147,,,,,76280,222208,354147,518734,282454,20490,10413,3461,4946,,,,,855,815,4946,13830,1714,59751,26013,12386,15962,,,,,3145,2245,15962,39912,3877,,,,,,,,,,,,,
20201216,GA,488338,184292,132709,58678,9531,304,467,,12456,89901,58678,294070,135590,10228,4943,3567,556,168,10,6,,19,959,556,8699,973,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,GU,7168,337,,,2189,,3604,,382,,,,,119,,,,,,,,,119,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,HI,19590,2050,319,,4352,,5750,,570,6549,,,,278,25,5,,153,,79,,5,11,,,11,1371,102,10,,414,,501,,23,321,,,321,,,,,,,,,,,,,
20201216,IA,262494,161685,7823,,5216,888,824,,2608,83450,18255,153861,88666,3354,3082,87,,48,11,15,,34,77,99,3255,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,ID,125452,66850,730,,802,1587,273,0,9925,45285,13554,48591,63307,1231,1150,8,,11,21,,,19,22,128,1082,21,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,IL,870600,297235,79665,162320,17327,1029,811,,29756,282457,162320,425823,282457,15777,8242,2857,2440,520,18,13,,88,1599,2440,11738,1599,,,,,,,,,,,,,,12055288,3856612,891066,857635,440157,9459,11936,,362742,5625681,857635,5571972,5625681
20201216,IN,440850,286269,29860,,5674,,,,50177,68870,28552,214119,198179,7101,4836,621,,36,,,,900,708,160,3513,3428,,,,,,,,,,,,,,2461562,1667874,185182,,44555,,,,288084,275867,94146,1146615,1220801
20201216,KS,194569,132131,9803,,3418,1322,,,11399,36496,29238,113829,51502,2253,1733,139,,29,20,,,155,177,182,1800,271,6050,4479,539,,125,48,,,500,359,1023,4469,558,918265,548061,40877,,15965,5415,,,54708,253239,68664,488234,361367
20201216,KY,230693,145365,16488,,2208,463,166,8845,,57158,16488,151479,67440,2262,1806,212,,17,1,1,53,,172,50,1953,259,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,LA,275545,124073,89373,,13284,800,304,,22083,25628,,,275545,6933,3863,2902,,46,7,8,,27,80,180,6448,305,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,MA,304112,88188,18890,62098,6532,,,,19478,108926,62098,133088,108926,11513,8396,836,793,282,,,,798,408,793,10312,408,14823,7454,1602,2288,510,,,,1315,1654,2288,10881,1654,,,,,,,,,,,,,
20201216,MD,241767,75985,71159,43618,4908,,,,11080,35017,43618,163132,35017,5270,2456,1977,535,180,,,,55,67,535,4668,67,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,ME,17311,13427,1397,,238,52,10,125,379,1683,370,13332,3609,267,196,5,,0,0,0,0,4,62,1,180,86,934,675,47,,15,2,0,2,15,178,13,695,226,,,,,,,,,,,,,
20201216,MI,482815,267047,54090,,6985,2459,,19504,27137,105593,25018,302719,155078,11588,7272,3057,,121,48,,184,290,616,304,9230,2054,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,MN,386412,252412,31579,34846,16121,3562,406,5136,5395,36955,34846,314611,36955,4575,3753,252,153,170,62,4,51,18,112,153,4310,112,19980,11688,2392,1735,1103,332,19,375,190,2146,1735,16099,2146,,,,,,,,,,,,,
20201216,MO,353038,164551,31844,,2895,635,30,71,52461,100581,13062,339940,167129,4799,2590,673,,34,8,0,0,1117,373,100,3572,1125,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,MP,113,,,,,,,,,113,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,MS,185643,81769,64626,4382,714,1571,,,7601,24980,4382,120965,60296,4294,2146,1830,50,12,92,,,57,107,50,3544,700,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,MT,74644,44383,336,,235,6853,,,5181,17656,1676,43471,29497,836,499,,,,174,,,32,131,,,,3082,2233,23,,,453,,,,373,,,,,,,,,,,,,,,,
20201216,NC,451874,229122,79348,,6888,5947,,,49743,80826,75948,220701,155225,5979,3644,1551,,69,76,,,376,263,430,4790,759,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,ND,88686,47058,2592,,1213,3606,,1037,21,32540,,,88686,1201,,,,,,,,,1201,,,1201,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,NE,152103,81379,4234,,2290,1023,190,,3242,59745,20079,65285,66739,1448,1046,57,,23,21,1,,21,279,136,819,493,4908,3604,274,,123,86,10,,149,662,966,2882,1060,,,,,,,,,,,,,
20201216,NH,33433,16490,585,2019,486,29,11,158,651,13004,2019,18410,13004,625,520,9,18,4,0,0,0,1,73,18,534,73,870,647,35,85,32,1,0,4,7,59,85,726,59,,,,,,,,,,,,,
20201216,NJ,415075,114242,37460,84258,13562,,,,47755,117798,84258,213019,117798,18003,9444,3018,3457,929,,,,405,750,3457,13796,750,44461,16748,8236,11579,1999,,,,2369,3530,11579,29352,3530,,,,,,,,,,,,,
20201216,NM,124357,17484,1529,49295,982,20829,,,,34238,49295,40824,34238,2049,544,26,712,14,649,,,,104,712,1233,104,8299,1222,80,2623,67,2496,13,,174,1624,2623,4052,1624,,,,,,,,,,,,,
20201216,NV,194098,50876,10829,54549,10902,780,,,16026,50136,54549,89413,50136,2653,1208,242,577,281,21,,,5,319,577,1757,319,,,,,,,,,,,,,,1084570,283179,56277,93197,39246,5294,,,110586,496791,93197,494582,496791
20201216,NY,804555,,,,,,,,,804555,,,804555,36187,11289,8071,8354,2200,,,,2321,3952,8354,23881,3952,89995,13977,16818,19147,4542,,,,,35511,19147,35337,35511,,,,,,,,,,,,,
20201216,OH,584766,330210,65907,,8781,688,467,15100,32613,131000,19454,351247,214065,7777,6047,1071,,57,4,3,130,73,392,151,6907,719,33375,21917,6628,,483,51,46,1256,993,2001,1314,27338,4723,,,,,,,,,,,,,
20201216,OK,245229,139902,14370,,4934,23340,,,8536,54147,27572,139486,78171,2128,1529,131,,33,185,,,66,184,111,1622,395,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,OR,97622,44953,2538,,3221,1947,1017,1643,25127,17176,28837,47029,21756,1262,845,31,,33,19,14,31,116,173,141,816,305,5679,3348,194,,209,152,110,102,1099,465,1276,3474,929,,,,,,,,,,,,,
20201216,PA,519369,237917,52240,,9248,,,,4657,215307,34186,126444,358739,13168,9580,1938,,224,,,,493,933,597,11638,933,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,PR,63686,,,,,,,,,63686,,,,1312,,,,,,,,,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,RI,76209,28275,5041,20859,1147,160,0,555,1014,19158,20859,36192,19158,1590,1070,80,140,17,1,0,0,0,282,140,1168,282,5700,2200,447,1326,85,10,0,18,85,1529,1326,2845,1529,591698,142838,14004,40497,5356,4430,458,171,15755,368189,40497,183012,368189
20201216,SC,260119,115088,58620,,2456,,,,22980,60975,17348,150768,92003,4800,2472,1500,,34,,,,135,659,140,3508,1152,13070,6202,5191,,121,,,,679,877,712,10275,2083,,,,,,,,,,,,,
20201216,SD,92603,62786,2006,3160,1176,11360,,,2019,10096,3160,79347,10096,1300,995,5,13,14,162,,,11,100,13,1187,100,5265,3526,103,129,61,1032,,,74,340,129,4796,340,,,,,,,,,,,,,
20201216,TN,484285,275469,64275,,3927,551,323,,43818,95922,36125,286394,161766,5668,4101,1107,,34,6,3,,187,230,196,5003,469,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,TX,1519340,19552,10582,25189,892,,,,308,1462817,25189,31334,1462817,24394,8293,2405,12318,418,,,,117,843,12318,11233,843,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,UT,240715,142465,3418,57609,4749,3444,6658,,19765,24933,57609,158173,24933,1096,696,13,192,37,49,39,,78,64,192,840,64,9692,5669,165,2444,238,317,605,,831,223,2444,7025,223,1655776,1025691,19645,202469,27532,17442,23211,,101485,238301,202469,1138208,238301
20201216,VA,292240,107184,50370,51954,9304,363,,3055,7739,62271,51954,178015,58340,4508,2585,1100,366,179,7,,39,54,140,366,3964,140,16353,6275,4583,3708,694,13,,129,332,619,3708,12026,619,,,,,,,,,,,,,
20201216,VI,1828,,,,,,,,,1828,,,1828,23,,,,,,,,,23,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,VT,6009,4800,283,,278,7,,,94,547,129,4900,980,105,90,1,,2,1,,,2,9,0,94,11,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,WA,205069,54986,6955,41271,7000,1722,2440,3394,2084,85217,41271,78581,85217,2953,2056,89,390,202,63,49,38,51,15,390,2548,15,12773,4143,471,2073,560,155,282,141,175,4773,2073,5927,4773,,,,,,,,,,,,,
20201216,WI,478162,361281,32225,,10542,6019,,,27287,40808,51168,346197,80797,4493,3784,324,,76,65,,,81,163,279,3892,322,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,WV,66849,42230,1797,,,,,,913,21909,,,,1039,724,19,,,,,,10,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,WY,40310,20577,319,3173,209,1795,109,,1126,10104,3173,24135,13002,328,259,1,19,4,34,1,,3,26,19,283,26,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,AK,41143,12050,1091,,1539,8025,1141,2993,5062,9242,2169,18990,19984,176,61,7,,18,65,11,6,3,5,4,140,32,886,267,34,,71,234,97,59,38,86,40,612,234,,,,,,,,,,,,,
20201213,AL,295631,90818,51189,,1044,,,,27391,125189,9713,104733,181185,4102,2087,1225,,14,,,,109,,91,2961,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,AR,185702,115692,32498,,1671,515,2971,1300,9657,21398,23584,162118,0,2945,2109,468,,20,7,50,9,108,174,118,2827,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,AZ,408442,123959,11842,118084,4570,21302,,,17102,111583,118084,178775,111583,7357,3295,214,2142,78,759,,,129,740,2142,4475,740,30949,12764,1370,10651,453,2811,,,1041,1859,10651,18439,1859,,,,,,,,,,,,,
20201213,CA,1551766,221403,45522,643448,66913,3420,6068,14861,120491,429640,643448,478678,429640,20969,6424,1490,9918,2419,66,101,189,153,209,9918,10842,209,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,CO,288193,107467,7781,85420,3718,1556,865,3948,1931,75507,85420,126632,76141,3958,2444,158,862,96,19,8,91,27,253,862,2843,253,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,CT,146761,45168,12114,25529,1620,236,,3192,5330,53572,25529,67660,53572,5363,3929,741,501,59,2,,47,24,60,501,4802,60,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,DC,24874,5996,11770,,447,51,64,,6364,182,5704,17146,2024,715,73,529,94,9,,,,10,0,94,621,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,DE,45460,19986,11018,8437,828,,,,2644,2547,8437,34476,2547,816,545,203,53,2,,,,12,1,53,762,1,,,,,,,,,,,,,,463363,225779,84748,37144,10843,,,,43038,10843,37144,358514,61811
20201213,FL,1125931,345735,143047,343310,,,,,74111,219728,343310,504922,277699,20133,10207,3415,4897,,,,,833,781,4897,13578,1658,58891,25513,12260,15804,,,,,3109,2205,15804,39273,3814,,,,,,,,,,,,,
20201213,GA,476044,179233,129685,57409,9262,299,452,,12053,87651,57409,286142,132493,10076,4867,3537,556,165,10,7,,21,913,556,8571,949,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,GU,7106,337,,,2189,,3604,,382,,,,,118,,,,,,,,,118,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,HI,19235,1903,302,,4208,,5556,,522,6744,,,,274,24,5,,146,,76,,5,18,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,IA,258086,158952,7691,,5127,888,824,,2564,82040,17946,151261,87167,3213,2950,82,,45,11,15,,33,77,96,3117,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,ID,121179,64435,720,,766,1556,263,0,9668,43771,13280,46947,60952,1175,1090,8,,9,20,,,18,30,121,1025,29,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,IL,848904,289004,78015,158728,16790,1004,801,,29137,275425,158728,414751,275425,15339,8017,2817,2394,502,18,13,,85,1493,2394,11452,1493,,,,,,,,,,,,,,11776832,3767154,872939,838301,432028,9240,11750,,355931,5489489,838301,5449042,5489489
20201213,IN,425434,272311,28361,,5449,,,,48043,71270,27819,205905,191710,6805,4579,602,,35,,,,868,721,151,3366,3288,,,,,,,,,,,,,,2423719,1630872,180753,,43754,,,,278717,289623,92489,1125358,1205872
20201213,KS,185294,125898,9396,,3241,1276,,,10837,34646,28385,108165,48744,2072,1596,135,,28,19,,,138,156,172,1662,238,5800,4280,526,,123,45,,,486,340,1012,4262,526,890717,530155,39544,,15376,5265,,,53269,247108,67052,473935,349730
20201213,KY,223104,141002,16101,,2139,438,168,8573,,54683,9879,148190,65035,2207,1763,207,,17,1,0,53,,166,50,1907,250,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,LA,268613,113834,84247,,12785,742,289,,20905,35811,,,268613,6818,3713,2843,,45,7,8,,27,175,174,6196,448,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,MA,290578,88188,18890,62098,6532,,,,19478,95392,62098,133088,95392,11349,8396,836,793,282,,,,798,244,793,10312,244,14823,7454,1602,2288,510,,,,1315,1654,2288,10881,1654,,,,,,,,,,,,,
20201213,MD,234647,73462,69144,42650,4731,,,,10726,33934,42650,158063,33934,5117,2369,1947,524,177,,,,56,44,524,4549,44,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,ME,15923,12356,1342,,228,49,10,115,356,1467,357,12428,3138,257,196,5,,0,0,0,0,4,52,1,180,76,878,675,47,,15,2,0,2,15,122,13,695,170,,,,,,,,,,,,,
20201213,MI,465159,256622,51917,,6729,2374,,18831,26236,102450,24166,290647,150346,11195,6975,3016,,119,45,,175,277,588,295,8934,1966,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,MN,378823,247130,30956,33970,15649,3469,400,4995,5332,36922,33970,307931,36922,4444,3635,249,151,165,62,3,50,18,111,151,4182,111,19536,11688,2392,1735,1103,332,19,375,190,1702,1735,16099,1702,,,,,,,,,,,,,
20201213,MO,345041,159892,31226,,2829,621,30,69,51549,98854,12870,332205,163791,4511,2420,666,,30,8,0,0,1041,342,100,3385,1024,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,MP,113,,,,,,,,,113,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,MS,177947,77574,62330,4233,689,1545,,,7465,25611,4233,116058,59156,4180,2079,1785,48,12,92,,,57,126,48,3451,700,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,MT,73303,43502,332,,231,6706,,,5050,17482,1639,42592,29072,818,392,,,,155,,,31,240,,,,2572,1858,20,,,409,,,,285,,,,,,,,,,,,,,,,
20201213,NC,436595,221129,77015,,6696,5791,,,47690,78274,73804,213151,149640,5823,3532,1536,,69,75,,,358,253,420,4668,735,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,ND,87871,44405,2496,,1165,3392,,977,187,30359,,,87871,1158,,,,,,,,,1158,,,1158,,,,,,,,,,,,,,,,,,,,,,,,,,
