/id,/fields/Annotation Summary,/fields/State,/fields/States Daily Column,/fields/Metric,/fields/Annotation,/fields/Evidence For,/fields/Evidence Type,/fields/Evidence,/fields/Evidence Source Link,/fields/Last Checked,/createdTime,/fields/Media/Outreach As Of,/fields/Media/Outreach Out of Date,/fields/MetricTitle,/fields/Excludes
recessT3KwlVqW33F,CSTE confirmed cases according to website,ND,Positive Cases (PCR),"ND primary > column ""Cumulative"" > ""Positives""  > ""Confirmed (PCR Tests)""",CSTE confirmed cases,Cases,website,"""PCR tests"" in metric title.",https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recb0MDjCAZ3SXiUZ,unclear cases according to website,OK,Positive,"OK primary > ""OK Cases""",unclear cases,Cases,website,"No definitions found on the main page, the EORs, or the Weekly Reports. The Weekly reports do include certain statistics for confirmed cases but nothing that can be compared to the total ""OK Cases."" Additionally OK announced on 9/8 (https://coronavirus.hea",https://coronavirus.health.ok.gov/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recRuEzeOczt9NtHY,unclear confirmed cases according to website,OH,Positive Cases (PCR),"OH dash > ""COVID-19 Dashboard"" > menu pulldown ""Key Metrics"" > ""Cases"" > ""Confirmed Cases""",unclear confirmed cases,Cases,website,"They have a document called ""Data Term Definitions"" however there is no detail about how cases are confirmed or what test types are being used. ",https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/overview,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recTvVvxdhYNFvL7O,unclear probable cases according to website,OH,Probable Cases,"OH dash > ""COVID-19 Dashboard"" > menu pulldown ""Key Metrics"" > ""Cases"" > ""CDC Expanded Case Definition (Probable)""",unclear probable cases,Cases,website,"They have a document called ""Data Term Definitions"" however there is no detail about the criteria for probable cases or what test types are being used. ",https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/overview,2021-02-10,2021-01-28T21:51:47.000Z,,,,
reckgoT121E9YeyOd,"unclear confirmed cases, unclear probable cases according to website",OH,Positive,"OH dash > ""COVID-19 Dashboard"" > menu pulldown ""Key Metrics"" > ""Cases"" > ""Total Cases"" ","unclear confirmed cases, unclear probable cases",Cases,website,"""Total cases"" equals confirmed plus probable, see confirmed and/or probable for definitions. ",https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/overview,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recwpeJcrjNupLZTX,unclear cases according to website,NY,Positive,"NY dash > ""Total Tested Positive""",unclear cases,Cases,website,"No definitions found on the dashboard, or in their datasets that can be associated with the ""Total tested positive"" metric. ",https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Map?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recHEceajqdMv7Khi,unclear cases according to website,NM,Positive,"NM dash > ""Number of Cases""",unclear cases,Cases,website,"No definition found on the dashboard, the Epidemology Reports, or in the Modeling reports. ",https://cv.nmhealth.org/,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recrRbIhUzzNkY8zu,CSTE confirmed cases according to website,NV,"Positive, Positive Cases (PCR)","NV dash > tab ""Current Status"" > button ""Confirmed Cases"" > ""Cumulative Cases""",CSTE confirmed cases,Cases,website,"General: The Nevada Department of Health and Human Services (DHHS) classifies confirmed COVID-19 cases based upon the Council of State and Territorial Epidemiologists (CSTE) case definition published on August 5, 2020.  Confirmed cases are those that have ",https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recG6mi6Lvn18zHYk,CSTE confirmed cases according to website,NJ,Positive Cases (PCR),"NJ dash > ""Total Confirmed* Cases""",CSTE confirmed cases,Cases,website,On the Case and Mortality tab of the dashboard it says that the DoH follows CSTE for case definitions and links to the definition of CSTE-01. There is also a link to CSTE2 in the PCR and Antigen Positives tab>,https://covid19.nj.gov/#live-updates,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recDmbUS4SPyDmUvV,"CSTE confirmed cases, CSTE-2 probable cases according to website",NH,Positive,"NH primary > ""Number of Persons with COVID-19""","CSTE confirmed cases, CSTE-2 probable cases",Cases,website,"NH sums people testing positive via PCR and antigen to get its total case number.

NH's main page labels cases as ""Number of Persons with COVID-19"" with the following annotation: ""Includes specimens positive at any laboratory and those confirmed by CDC con",https://www.nh.gov/covid19/dashboard/case-summary.htm,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recFbPdYKts4wRAF9,CSTE-2 probable cases according to website,HI,Probable Cases,"updates: weekly calculated: HI site > click link ""Probable Cases"" > title ""Hawaii COVID-19 Probable Cases"" > { Sum of ""Total Probable Cases"" column} note: will look like = 9 + 67 + 0 + 102 +1 note: this value is updated weekly (fri), if this metric does no",CSTE-2 probable cases,Cases,website,"From the page: ""Probable cases are individuals who have a positive antigen test result, or are symptomatic and are epidemiologically-linked to a confirmed case of COVID-19 but have not had confirmatory testing performed."" So they are following CSTE-02 but ",https://health.hawaii.gov/coronavirusdisease2019/what-you-should-know/current-situation-in-hawaii/#probables,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recLmzthJgunAda9X,CSTE confirmed cases according to website,HI,Positive Cases (PCR),"HI primary > ""Confirmed Cases""",CSTE confirmed cases,Cases,website,"""The cumulative number of total persons with laboratory confirmation of the virus causing COVID-19 shown per day since March 2020."" (definitions tab of dash) “We only include nucleic acid amplification tests which are the most accurate diagnostic tests ava",https://hiema-hub.hawaii.gov/pages/covid-dashboard,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recNUJP6nPYPwfVAP,"CSTE-2 probable cases, CSTE confirmed cases according to website",HI,Positive,calculated: WS2 > {Positive Cases (PCR) + Probable Cases},"CSTE-2 probable cases, CSTE confirmed cases",Cases,website,We add confirmed and probable to get this metric. See confirmed and/or probable for definitions.,https://hiema-hub.hawaii.gov/pages/covid-dashboard,2021-02-16,2021-01-28T21:51:47.000Z,,,,
rec8HymAtcfedBFku,CSTE confirmed cases according to website,PR,Positive Cases (PCR),"PR dash > ""Total Casos Confirmados""",CSTE confirmed cases,Cases,website,"From the daily COVID-19 Positive Case Reports: ""Los casos confirmados son casos con una prueba molecular (RT-PCR) positiva"" (aka Confirmed cases are cases with a positive molecular test (RT-PCR).",http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/COVID-19.aspx,2021-02-16,2021-01-28T21:51:47.000Z,,,,
reclia713IekP7mVX,CSTE-2 probable cases according to website,PR,Probable Cases,"PR dash > ""Total casos probables AntÃ­genos""",CSTE-2 probable cases,Cases,website,"From the Daily COVID-19 Positive Case Reports: ""
Los casos probables son casos con una prueba de antígenos positiva. ""  (aka  Probable cases are cases with a positive antigen test.) 

PR seems to only use antigen testing to identify probable cases. Before ",http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/COVID-19.aspx,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recpIarLm4eE239c3,"CSTE confirmed cases, CSTE-2 probable cases according to website",PR,Positive,calculated: WS2 > {Probable Cases + Positive Cases (PCR)},"CSTE confirmed cases, CSTE-2 probable cases",Cases,website,We add confirmed to probables for the Total Cases. See confirmed and/or probable for definitions.,,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recKsftYq4RWJ2AFe,"CSTE confirmed cases, CSTE-2 probable cases according to website",FL,Positive,"PDF FL primary > link ""See State Report"" > table ""Total cases"" > ""Florida Residents"" note: this table is bordered in blue","CSTE confirmed cases, CSTE-2 probable cases",Cases,website,"""Total Cases"" equals confirmed cases plus probable cases. See confirmed and/or probable for definitions",http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/cases-monitoring-and-pui-information/state-report/state_reports_latest.pdf,2021-02-10,2021-01-28T21:51:47.000Z,,,,
recQvrs54GR9YpmBE,CSTE confirmed cases according to website,TX,Positive Cases (PCR),"TX dash > tab ""Maps"" > title ""Category Filter"" > click button ""Confirmed Cases"" > ""Confirmed Cases Total"" ",CSTE confirmed cases,Cases,website,"From the Data Definitions tab of the dashboard: ""A person who has tested positive through a molecular test that looks for the virus’s genetic material. Texas uses the confirmed case definition adopted by the U.S. Centers for Disease Control and Prevention.",https://dshs.texas.gov/coronavirus/DataDefinitions.aspx,2021-02-15,2021-01-28T21:51:47.000Z,,,,
reckgPtgmANZu1ZJb,CSTE confirmed cases according to website,WA,Positive Cases (PCR),"WA dash > pg. 1 > ""Confirmed Cases"" ",CSTE confirmed cases,Cases,website,"On the first tab of the dashboard, there is a note that says ""Confirmed cases are individuals with a positive molecular test for COVID-19. Probable cases are individuals with a positive antigen test for COVID-19 and no positive molecular test....""",https://www.doh.wa.gov/Emergencies/COVID19/DataDashboard,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recA7lUwU04xnY65c,"custom probable cases, unclear confirmed cases according to website",OR,Positive,"OR primary > title ""Situation in Oregon"" >  ""Total Cases"" on Sunday and Monday: OR press conferences > title  ""COVID-19 News from Oregon Health Authority"" > click link for yesterday's release > table > column ""Cases"" > row ""Total"" note: on Sunday and Monda","custom probable cases, unclear confirmed cases",Cases,website,"From the footnote on Cases in ""Demographics, Hospital Capacity, and Testing tables"":  ""This includes cases confirmed by diagnostic testing and presumptive cases. Presumptive cases are people without a positive diagnostic test who have COVID-19-like symptom",https://govstatus.egov.com/OR-OHA-COVID-19,2021-02-16,2021-01-28T21:51:47.000Z,,,,
recSPMFSjWrBacV5O,unclear policy for tests after positives according to website,AK,Total Tests (PCR),"AK dash > ""Total Tests""",unclear policy for tests after positives,Repeat Positives,website,"On Alaska's testing FAQ linked from the dashboard: ""Duplicate testing for the same person may occur"" without further details.",https://coronavirus-response-alaska-dhss.hub.arcgis.com/datasets/testing-frequently-asked-questions,2020-10-26,2021-01-28T21:51:47.000Z,,,,
recx40vvpooWiYLvN,N/A tests after positives according to outreach,IA,Total PCR Tests (People),"IA dash > tab ""Positive Case Analysis"" > title ""PCR"" > ""Individuals Tested""",N/A tests after positives,Repeat Positives,outreach,"Iowa has no clear definitions on their site but they do use the term ""individuals"" when referring to tests, and their recent outreach response is clear that testing numbers are people-based, which makes me think repeat positives are not included? But it's ",https://covid-tracking.slack.com/archives/C012C4BEAR4/p1598289733346200,2020-10-26,2021-01-28T21:51:47.000Z,,,,
recIigYFQz1QDTN34,unclear policy for tests after positives according to website,WY,Total Tests (PCR),"updates: weekdays WY site > click link ""COVID-19 Testing Data"" > table ""COVID-19 Resulted Tests"" > ""Grand Total""",unclear policy for tests after positives,Repeat Positives,website,"On Wyoming's Testing Data Dashboard Interpretation: ""Resulted tests are completed PCR/molecular tests for COVID-19, with either positive or negative results. The
numbers on this dashboard count the number of tests, not the number of cases.""",https://health.wyo.gov/wp-content/uploads/2020/04/Data-interpretation_Testing-Dashboard-1.pdf,,2021-01-28T21:51:47.000Z,,,,
recEsrJQ9MLnPHkyh,repeat positives excluded according to outreach,AR,Total Tests (PCR),"calculated: AR dash > tab""Tests"" > {""PCR Negatives"" + ""PCR Positives""} note: always use dash and never the graphic from the primary source",repeat positives excluded,Repeat Positives,outreach,"No definitions of Tests on dashboard or website. According to outreach, PCR Positives + PCR Negatives. ""For negatives, the number is specimens, but for positives, it’s people tested.""",https://covid-tracking.slack.com/archives/C0124MP2E5C/p1591810296054200,2020-10-27,2021-01-28T21:51:47.000Z,,,,
recjQiG0z8ZSAr1mp,N/A tests after positives according to outreach,AZ,Total PCR Tests (People),"AZ dash > tab ""Summary"" > ""Total COVID-19 Diagnostic Tests""",N/A tests after positives,Repeat Positives,outreach,"Outreach response:
""Laboratory testing data is deduplicated by patient and test type. If someone continues to test positive, which we are aware that some people do, they are not being counted multiple times in either the case or the laboratory data.  A uni",https://covid-tracking.slack.com/archives/C010RFJ0ZD3/p1599263394137400,2020-11-05,2021-01-28T21:51:47.000Z,2020-09-04,,,
rec5Coeo8pc8acB6a,unclear policy for tests after positives according to website,CA,Total Tests (PCR),"CA dash > ""California Testing Results""",unclear policy for tests after positives,Repeat Positives,website,"In CA Open Data Portal COVID-19 Testing Data Dictionary under Lab Testing Data: TESTED=""Cumulative number of tests reported as pending from large laboratories.""
No further details are provided on how they handle positive results.",https://covid19.ca.gov/data-and-tools/,2020-11-05,2021-01-28T21:51:47.000Z,,,,
recU6PgVsEnRN9i3I,unclear policy for tests after positives according to website,ID,Total Tests (PCR),"ID dash > tab ""Laboratory Testing"" > title ""PCR Tests"" >âTests Performed"" ",unclear policy for tests after positives,Repeat Positives,website,"Idaho does not provide a clear explanation for repeat testing, but interestingly, their notes page says: ""Laboratories are required by law to report positive results. Negative test results are reported voluntarily.""",https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard/Home,2020-10-26,2021-01-28T21:51:47.000Z,,,,
recT6tsXeL3xQyNlI,N/A tests after positives according to website,AL,Total PCR Tests (People),"AL dash > ""Total Tested"" > ""Diagnostic"" ",N/A tests after positives,Repeat Positives,website,"In the bottom part of AL dashboard: ""Total Diagnostic Tests represents unique individuals tested with either diagnostic test (molecular or antigen test) that were reported to the Alabama Department of Public Health (ADPH)""",https://alpublichealth.maps.arcgis.com/apps/opsdashboard/index.html#/6d2771faa9da4a2786a509d82c8cf0f7,2020-11-04,2021-01-28T21:51:47.000Z,,,,
recZ4iFxxhHW8koQ0,repeat positives excluded according to sleuthing,AR,Total Tests (PCR),"calculated: AR dash > tab""Tests"" > {""PCR Negatives"" + ""PCR Positives""} note: always use dash and never the graphic from the primary source",repeat positives excluded,Repeat Positives,sleuthing,"AR’s “Confirmed Cases” number matches its “PCR Positives” number, which we use to calculate the totals",https://experience.arcgis.com/experience/c2ef4a4fcbe5458fbf2e48a21e4fece9,2020-10-27,2021-01-28T21:51:47.000Z,,,,
recVCN3kYUJHdug7N,N/A tests after positives according to website,CO,Total PCR Tests (People),"CO primary > ""People Tested""",N/A tests after positives,Repeat Positives,website,"From the Data FAQ under What Does the Case Summary Data Mean, ""in the People Tested numbers, individuals only are counted once, regardless of how many times they have been tested.""
",https://covid19.colorado.gov/frequently-asked-questions-faq#Data,2020-11-05,2021-01-28T21:51:47.000Z,2020-10-27,,,
rec0oWQYLj61SfCFq,unclear policy for tests after positives according to website,CO,Total Test Encounters (PCR),"CO primary > ""Test Encounters""",unclear policy for tests after positives,Repeat Positives,website,"In their Data FAQ under ""What does the case summary data mean?,"" CO defines test encounters:
 ""This data is a cumulative total from the positivity graph, which shows the total number of people tested each day. Many people get tested multiple times, and eac",https://covid19.colorado.gov/frequently-asked-questions-faq#Data,2020-10-27,2021-01-28T21:51:47.000Z,,,,
recD8hdgKu5VAsj6g,viral RNA according to media,CA,Total Tests (PCR),"CA dash > ""California Testing Results""",viral RNA,Test Type,media,,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recsjdUNYcoMYJCL9,all tests after positive included according to outreach,CT,Total Tests (PCR),"CT primary > table ""Connecticut COVID-19 Summary"" > row ""COVID-19 Tests Reported (molecular and antigen)"" > ""Total"" ",all tests after positive included,Repeat Positives,outreach,"Outreach response from 6/04 was: ""Total PCR specimens tested (including both positive and negative results.).",https://covid-tracking.slack.com/archives/C012C4BEAR4/p1600883920060500,2020-10-27,2021-01-28T21:51:47.000Z,2020-06-04,,,
recg9UpCnfrWNXsNc,N/A tests after positives according to outreach,DC,Total PCR Tests (People),"DC primary > ""Total Number of DC Residents Tested"" note: although it appears this number contrasts with the other one only due to resident vs. nonresident, we know from outreach it also differs in unit. that is why it is stored in unique people",N/A tests after positives,Repeat Positives,outreach,"Outreach on 8/28: "" For enumerating the total number of DC residents tested, we count each individual only once.""",https://covid-tracking.slack.com/archives/C010RFJ0ZD3/p1598627932032200,2020-10-27,2021-01-28T21:51:47.000Z,2020-08-28,,,
recD9ZGu0fckL6kPr,all tests after positive included according to outreach,DC,Total Test Encounters (PCR),"DC primary > ""Total Overall Number of Tests"" ",all tests after positive included,Repeat Positives,outreach,"Outreach on 8/28 about ""Total Overall Tested"": ""DC Health de-duplicates by sample collection date such that an individual who tests more than once on a given day with the same test result is only counted once. If a positive and negative test result exists ",https://app.slack.com/client/TUPV6BFR9/C010RFJ0ZD3,2020-10-27,2021-01-28T21:51:47.000Z,2020-08-28,,,
recpCJZB2Xxg6JpnB,N/A tests after positives according to website,DE,Total PCR Tests (People),"DE dash > title ""Key Public Health Metrics"" > click ""More Tests Data"" > section ""Testing Totals in State of Delaware"" > tab ""Total Persons Tested"" > ""State of Delaware""",N/A tests after positives,Repeat Positives,website,"Hover on Dash graph info mark for ""Total Persons Tested:"" For persons who were tested more than once, they are counted only once, on the day when the first test result was reported to DPH. If the first test was negative and the subsequent test was positive",https://myhealthycommunity.dhss.delaware.gov/locations/state,2020-10-27,2021-01-28T21:51:47.000Z,,,,
reccQo9AioniYUsNf,all tests after positive included according to website,DE,Total Test Encounters (PCR),"DE dash > title ""Key Public Health Metrics"" > click ""More Tests Data"" > section ""Testing Totals in State of Delaware"" > tab ""Total Tests"" > ""State of Delaware""",all tests after positive included,Repeat Positives,website,"From hover on Dash graph info mark for ""Total Tests: ""Includes both positive and negative test results."" ",https://myhealthycommunity.dhss.delaware.gov/locations/state,2020-10-27,2021-01-28T21:51:47.000Z,,,,
receggzgPkQXggSSB,viral RNA according to media,DC,Total Test Encounters (PCR),"DC primary > ""Total Overall Number of Tests"" ",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recbZyUPye56x8MUQ,viral RNA according to media,DC,Total PCR Tests (People),"DC primary > ""Total Number of DC Residents Tested"" note: although it appears this number contrasts with the other one only due to resident vs. nonresident, we know from outreach it also differs in unit. that is why it is stored in unique people",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
rec71bNB1OwOYMnjc,"viral RNA, antigen according to media",DE,Total PCR Tests (People),"DE dash > title ""Key Public Health Metrics"" > click ""More Tests Data"" > section ""Testing Totals in State of Delaware"" > tab ""Total Persons Tested"" > ""State of Delaware""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recbSlP5538tqB9c2,"viral RNA, antigen according to media",DE,Total Test Encounters (PCR),"DE dash > title ""Key Public Health Metrics"" > click ""More Tests Data"" > section ""Testing Totals in State of Delaware"" > tab ""Total Tests"" > ""State of Delaware""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recNUGgDHgqc8iFV5,"viral RNA, antigen according to media",FL,Total Tests (PCR),"PDF FL primary >  link ""See State Report"" > table ""COVID-19: testing by laboratory"" > column ""Total"" > row ""Total"" note: go to the end of the pdf and scroll back for totals","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
rec0ll8hvaLZbuFf3,unclear test type according to website,DE,Total Test Encounters (PCR),"DE dash > title ""Key Public Health Metrics"" > click ""More Tests Data"" > section ""Testing Totals in State of Delaware"" > tab ""Total Tests"" > ""State of Delaware""",unclear test type,Test Type,website,"just says ""positive and negative tests""",https://myhealthycommunity.dhss.delaware.gov/locations/state,2021-02-12,2021-01-28T21:51:47.000Z,,,,
rechhCZn99JVESd6M,"viral RNA, antigen according to media",ID,Total Tests (PCR),"ID dash > tab ""Laboratory Testing"" > title ""PCR Tests"" >âTests Performed"" ","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-11-30,2021-01-28T21:51:47.000Z,2020-09-16,true,,
recS0tna9aIKhC5Bs,"viral RNA, antigen according to media",ME,Total Tests (PCR),"ME dash > table ""All Reported COVID-19 Tests in Maine"" > column ""Molecular Testing"" > row ""Total"" note: this metric is updated monday - friday, if this metric does not update, leave the previous value in the cell ","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-11-13,2021-01-28T21:51:47.000Z,2020-09-16,true,,
recxsSDI143rAKdbX,viral RNA according to media,MN,Total PCR Tests (People),"MN primary > title ""Testing"" > ""Total approximate number of people tested""",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recTyvqGr368aO0Yc,viral RNA according to media,ND,Total Tests (PCR),"long calculation This formula sums PCR specimens tested by day and county to get a cumulative number. long calculation > hover over ""# ND Negatives + Testing"" > click play button >  ""Total PCR tests (specimens) "" note: long calculation link can be found in",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recx1aTwwFWXRDfeL,viral RNA according to media,ND,Total Test Encounters (PCR),"long calculation This formula sums PCR test encounters by day and county to get a cumulative number. long calculation > hover over ""# ND Negatives + Testing"" > click play button > ""Total PCR tests (susceptible test encounters)  "" note: long calculation lin",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recgnkTrZ71RL80X8,viral RNA according to media,ND,Total PCR Tests (People),"ND primary > column ""Cumulative"" > ""Tests""  > ""Unique Individuals""",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recGcN7tuVYdM6lAp,"viral RNA, antigen according to media",NE,Total Tests (PCR),"NE dash > ""Total Tests""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-12-14,2021-01-28T21:51:47.000Z,2020-09-16,,,
rec8wU8PU42Qpciwz,"viral RNA, antigen according to media",NE,Total PCR Tests (People),"NE dash > ""People Tested""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-12-14,2021-01-28T21:51:47.000Z,2020-09-16,,,
recvX4dnlY8keJGmn,"viral RNA, antigen according to media",NM,Total Tests (PCR),"NM dash > ""Total # of Tests Performed""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recWOncjIHhSU8z3Y,"viral RNA, antigen according to media",NV,Total PCR Tests (People),"NV dash > tab ""Trends"" > button ""Testing"" > ""People Tested""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recEXK9pHpk9LuuZB,"viral RNA, antigen according to media",NY,Total Test Encounters (PCR),"NY dash > ""Total Persons Tested""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
rechJ07bB47bF9Ik9,viral RNA according to media,OH,Total Tests (PCR),"OH dash > ""COVID-19 Dashboard"" > menu pulldown ""Key Metrics"" > ""Cases"" > ""Total Tested in Ohio""",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
rec09JvyvdOJIJiqd,"viral RNA, antigen according to media",RI,Total Test Encounters (PCR),"RI other > ""Cumulative total tests completed (may count people more than once)""","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recN371qAQEoW6aYF,"viral RNA, antigen according to media",RI,Total PCR Tests (People),"RI other > ""Cumulative people tested (one count per person)"" ","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recuxe6yWWLQBslrS,viral RNA according to media,VT,Total PCR Tests (People),"VT dash > ""People Tested""",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recDjLfCVDZcPjFir,"viral RNA, antigen according to media",WV,Total Tests (PCR),"WV dash > tab ""Overview"" > ""Confirmatory Lab Tests"" ","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
reckt4ZUs0Of7Z8Q6,viral RNA according to media,WY,Total PCR Tests (People),"updates: weekdays WY site > click link ""COVID-19 Testing Data"" > ""Number of People Tested""",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recUfTQ37jbM5fEfg,viral RNA according to media,CO,Total PCR Tests (People),"CO primary > ""People Tested""",viral RNA,Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recPb7h3qKN6ICCtY,"viral RNA, antigen according to media",MA,Total PCR Tests (People),"long calculation This formula sums the timeseries of new PCR tests (people) to get a cumulative number.  long calculation > hover over ""# MA"" > click play button > title ""Download link"" > ""PCR Total People"" note: long calculation link can be found in cell ","viral RNA, antigen",Test Type,media,KHN,https://khn.org/news/lack-of-antigen-test-reporting-leaves-country-blind-to-the-pandemic/,2020-10-27,2021-01-28T21:51:47.000Z,2020-09-16,,,
recMxwfU77AdJ7KqX,all tests after positive included according to website,GA,Total Tests (PCR),"GA primary > table ""COVID-19 Testing"" > ""Total PCR/ Molecular""> ""Number of Tests""",all tests after positive included,Repeat Positives,website,"Below the table on the dashboard:
""Note: these data only include lab tests reported to DPH by electronic laboratory reporting (ELR) and do not represent all tests performed in Georgia. The number of positive tests in this chart will not match the number of",https://dph.georgia.gov/covid-19-daily-status-report,2020-10-28,2021-01-28T21:51:47.000Z,,,,
reczQGdl7PcdsIoTl,all tests after positive included according to outreach,WV,Total Tests (PCR),"WV dash > tab ""Overview"" > ""Confirmatory Lab Tests"" ",all tests after positive included,Repeat Positives,outreach,"West Virgina stated in an answer about the """"Confirmatory Lab Test"" metric on the dashboard: ""No deduplication for individuals w/ repeat testing.  This may change in the near future and will need to circle back on this, but at this present moment, it isn’t",https://covid-tracking.slack.com/archives/C010RFJ0ZD3/p1600725500005900,2020-09-21,2021-01-28T21:51:47.000Z,2020-09-21,,,
